InstrID,CountryCode,Identifier,Name,Exchange,Sector,SPDRIndx,MktCapType,FS_AsOfDate,FS_BVPS,FS_EPS,FS_DivRate,FS_GrowthGrade,FS_GrowthGradeYOY,Ratio_PE,Ratio_Beta,Ratio_PEG,Ratio_PEGY,Ratio_Current,Ratio_Quick,Ratio_DebtToFCF,Ratio_ROIC,Eval_ValuePrice_M,Eval_IRT_M,Eval_GrahamNumber,MktPrice_Date,MktPrice_Close,MktPrice_Change,MktPrice_Volume,MktPrice_VolumeAvg,MktPrice_52Wk_Lo,MktPrice_52Wk_Hi,MA10,MA10_ChangePcnt,MA30,MA30_ChangePcnt,MA50,MA50_ChangePcnt,MA150,MA150_ChangePcnt,MA200,MA200_ChangePcnt,RSI,RSI_ChangePcnt,SlowStoch_K,SlowStoch_D,SlowStoch_ChangePcnt,MACD,MACD_ChangePcnt,Jan_07_MktPrice_Close,Jan_07_MktPrice_Volume,Jan_14_MktPrice_Close,Jan_14_MktPrice_Volume
1064,US,A,Agilent Technologies Inc.,NYSE,Healthcare,XLV,Large,10/31/2015,12.36,1.2,0.46,0,7.3686,33.8,1.22,-1,-1,3.7766,2.9211,4.2112,0.0655,6.1084,29.0112,18.268,12/31/2015,41.81,-0.36,1449300,3294750,34.67,43.04,41.5,0.0009,40.91,0.0028,39.57,0.0028,38.52,0.0001,39.43,0,56.01,-0.1051,0.8579,0.88,-0.02141,0.0299,-0.6364,39,3502100,37.61,2893300
232480,US,AAC,"AAC Holdings, Inc.",NYSE,Healthcare,,Small,9/30/2015,1.36,0.61,NULL,79.7692,70.4103,31.2459,1.73,0.2586,0.2586,4.7661,4.6796,-14.5888,0.0924,38.8846,9.201,4.3204,12/31/2015,19.06,0.51,143900,243523,19.89,44.7,19.93,-0.0172,22.11,-0.0052,22.82,-0.0078,28.76,-0.0046,29.79,-0.0018,30.7,0.5708,0.0814,0.1059,0.35227,-0.2173,0.3635,18.2,97600,17.27,210600
192339,US,AACAY,AAC Technologies Holdings Inc.,OTC Markets,Conglomerates,,Large,12/31/2014,10.58,3.62,1.24,81.3077,68.2404,17.9558,0.34,0.645,0.6036,0,0,0,0.237,576.4347,6.695,29.3554,12/31/2015,65,0.4,1900,10177,48.11,72.99,65.25,-0.0018,68.4,-0.0031,67.06,0.0012,60.41,0.001,60.53,-0.0003,38.64,0.1799,0.0977,0.0846,0.90039,-0.0358,0.6994,58.15,2600,57.28,15500
228611,US,AAL,American Airlines Group Inc.,NASDAQ,Utilities,XLU,Large,9/30/2015,7.13,6.96,0.4,53.7147,27.0192,5.9066,3.85,0,0,0.9015,0.2634,-8.4487,0.0798,419.7553,2.8083,33.4149,12/31/2015,42.35,-0.45,6788900,7282623,37.62,55.45,42.78,-0.002,42.83,0,43.75,-0.0011,42.07,0,43.78,-0.0013,43.06,-0.0913,0.5506,0.5279,-0.0312,-0.0004,-1.0049,40.45,11282600,40.55,11714900
222723,US,AAMC,Altisource Asset Management Corporation,AMEX,Utilities,,Micro,9/30/2015,3.2,10.06,0,0,0,1.7058,5.21,0,0,0.2629,3.4597,0,-1.5765,163.9428,1.0915,26.9132,12/31/2015,17.16,-0.39,30700,56600,11.34,327.18,17.2,0.0171,15.06,0.0102,18.56,-0.012,67.08,-0.015,102.38,-0.0094,52.42,-0.0416,0.7596,0.8556,-0.03558,0.3963,-0.3859,15.48,94400,16.98,26300
45497,US,AAN,"Aaron's, Inc.",NYSE,Services,,Mid,9/30/2015,16.57,1.87,0.1,40.0972,48.4348,11.9733,0.02,-1,-1,1.0892,0.1906,-6.3165,0.057,11.7197,8.3699,26.4042,12/31/2015,22.39,-0.16,549200,725513,21.74,40.33,22.59,-0.002,23.26,-0.0017,25.49,-0.0125,33.14,-0.0025,32.78,-0.0009,41.16,-0.0657,0.6572,0.5724,0.00953,0.147,-0.2154,20.67,891200,21.02,643900
228365,US,AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Industrial Goods,,Small,9/30/2015,7.68,0.54,NULL,59.7949,50.4359,31.7778,NULL,0.6356,0.6356,2.33,1.3426,-0.7685,0.0364,29.9404,9.447,9.6598,12/31/2015,17.16,-0.64,103200,245447,8.59,22.51,17.3,0.0014,17.58,0.0009,17.97,-0.0012,18.74,-0.0002,17.69,0.0011,43.83,-0.2915,0.6941,0.7,-0.18949,0.0986,-0.4176,15.29,372100,14.16,259100
2431,US,AAON,AAON Inc.,NASDAQ,Industrial Goods,,Mid,9/30/2015,3.31,0.79,0.22,75.2703,54.5897,29.3924,1.01,1.0114,0.9794,3.0689,1.7509,0.0308,0.2612,13.856,13.1857,7.6704,12/31/2015,23.22,-0.45,211100,180120,19.57,25.15,23.26,-0.0007,23.79,-0.0006,23.34,0.0018,22.32,-0.0001,22.71,0.0002,44.08,-0.2259,0.6084,0.4867,0.0418,0.0497,-0.4067,21.21,152900,19.98,126600
60,US,AAP,Advance Auto Parts Inc.,NYSE,Services,XLY,Large,10/31/2015,26.38,6.81,0.24,69.8312,39.9904,22.1013,0.78,1.4843,1.4685,1.2666,0.1829,2.6884,0.174,157.5833,9.6521,63.5773,12/31/2015,150.51,-0.89,758300,1216273,145.34,198.72,150.3,-0.0068,155.36,-0.0029,168.97,-0.0051,171.47,-0.0001,165.93,0,44.29,-0.0622,0.3402,0.2867,-0.002,1.0162,-0.0724,148.83,1342600,141.32,1109900
32,US,AAPL,Apple Inc.,NASDAQ,Consumer Goods,XLK,Large,9/30/2015,22.53,9.22,2.08,93.7981,80.4391,11.3319,0.99,0.4265,0.3968,1.1088,0.7072,0.7662,0.3132,117.047,6.2173,68.3656,12/31/2015,105.26,-2.06,40635300,39398917,103.12,130.56,107.44,-0.0056,113.47,-0.0025,115.17,-0.0015,117.56,-0.0014,120.06,-0.001,30.22,-0.1851,0.1524,0.1653,-0.10619,-0.0509,-1.8519,96.45,80229800,99.52,62424200
69684,US,AAT,"American Assets Trust, Inc.",NYSE,Financial,,Mid,9/30/2015,16.89,0.85,1,51.8462,34.0705,45.1176,0.3,1.3188,1.2254,0.7241,0.8355,-27.0372,0.0427,27.5473,13.7049,17.9728,12/31/2015,38.35,-0.74,317400,170563,37.49,44.65,38.75,-0.0034,39.15,-0.0008,40.03,-0.0025,40.28,-0.0002,40.58,-0.0006,39.74,-0.2601,0.5691,0.5541,-0.14216,0.066,-0.5373,37.9,244700,37.08,206700
2370,US,AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,Services,,Mid,9/30/2015,55.31,3.47,NULL,34.8472,42.4712,11.9135,1.14,0.4722,0.4722,1.2502,1.0641,-6.0606,0.0562,19.8844,8.4592,65.714,12/31/2015,41.34,0.36,306300,213443,34.3,59.42,41.74,0.0025,40.78,0.0009,40.78,0.0003,44.38,-0.002,45.58,-0.0006,49.99,0.0642,0.5918,0.7836,-0.09324,0.0026,-0.9725,35.92,378700,34.08,177000
